 o, o,1
 m, m,1
 a, a,1
 n, m,0.541
 d, j,0.948
 i, i,1
 n, n,1
 g, g,0.999
 o, o,1
 m, a,0.926
 m, m,1
 a, k,0.847
 n, z,0.999
 d, d,1
 i, i,0.992
 n, a,0.995
 g, q,0.971
 o, g,0.975
 m, m,1
 m, m,1
 a, a,1
 n, n,0.997
 d, d,1
 i, i,0.965
 n, n,0.674
 g, g,0.862
 o, o,1
 m, m,1
 m, m,1
 a, a,1
 n, n,1
 d, d,0.998
 i, i,0.963
 n, n,0.99
 g, g,1
 o, g,0.999
 m, a,0.997
 m, m,1
 a, s,0.792
 n, g,0.817
 d, d,1
 i, i,0.982
 n, a,0.826
 g, g,0.998
 o, g,0.848
 m, a,0.999
 m, a,1
 a, d,1
 n, d,1
 d, d,0.996
 i, r,0.991
 n, d,1
 g, d,0.968
 o, m,0.877
 m, m,1
 m, m,1
 a, m,1
 n, m,0.978
 d, u,0.586
 i, i,1
 n, m,0.998
 g, o,0.603
 o, g,0.95
 m, m,1
 m, m,1
 a, n,0.842
 n, m,0.995
 d, a,0.997
 i, i,0.993
 n, a,0.998
 g, l,1
 o, a,0.886
 m, m,1
 m, m,1
 a, m,0.987
 n, n,0.954
 d, d,1
 i, i,0.993
 n, n,0.657
 g, o,1
 o, o,1
 m, m,1
 m, m,1
 a, a,0.945
 n, m,0.989
 d, d,1
 i, i,1
 n, m,0.984
 g, q,0.96
 o, a,0.878
 m, m,1
 m, m,1
 a, w,0.764
 n, w,0.599
 d, d,1
 i, i,0.984
 n, m,0.989
 g, i,0.999
 o, a,0.908
 m, m,1
 m, m,1
 a, m,0.957
 n, n,0.707
 d, d,1
 i, i,0.999
 n, m,0.961
 g, g,0.773
 o, g,0.975
 m, m,0.838
 m, n,0.996
 a, k,0.862
 n, z,0.996
 d, l,0.845
 i, l,0.863
 n, a,0.931
 g, q,0.608
 o, m,0.998
 m, m,1
 m, m,1
 a, m,0.555
 n, w,0.953
 d, d,0.504
 i, l,0.995
 n, m,0.915
 g, s,0.935
 o, a,1
 m, m,0.994
 m, m,0.994
 a, m,0.997
 n, m,0.921
 d, j,1
 i, i,0.978
 n, x,0.366
 g, o,1
 o, o,1
 m, m,1
 m, m,1
 a, a,0.997
 n, n,1
 d, k,0.723
 i, l,0.979
 n, z,0.457
 g, i,0.959
 o, o,1
 m, m,0.997
 m, m,0.999
 a, o,0.913
 n, w,0.694
 d, d,1
 i, r,1
 n, w,0.67
 g, g,1
 o, o,1
 m, m,0.952
 m, m,0.589
 a, a,1
 n, n,1
 d, d,1
 i, i,0.809
 n, n,0.999
 g, d,0.614
 o, o,1
 m, m,1
 m, m,1
 a, a,0.998
 n, n,1
 d, a,0.987
 i, l,0.941
 n, n,0.999
 g, g,0.963
 o, o,1
 m, m,1
 m, m,0.974
 a, n,0.945
 n, w,0.822
 d, o,1
 i, l,0.702
 n, w,0.993
 g, a,1
 o, o,1
 m, w,1
 m, m,1
 a, o,1
 n, u,0.999
 d, d,1
 i, i,0.999
 n, u,1
 g, d,0.993
 o, a,1
 m, m,1
 m, m,1
 a, a,0.9
 n, m,0.949
 d, b,0.579
 i, i,1
 n, m,0.761
 g, s,0.999
 o, a,0.999
 m, m,1
 m, m,1
 a, m,0.842
 n, n,0.999
 d, z,0.602
 i, i,0.991
 n, n,1
 g, g,1
 o, o,0.958
 m, m,1
 m, m,1
 a, e,0.677
 n, e,0.995
 d, v,0.914
 i, j,0.978
 n, y,0.821
 g, p,1
 o, o,1
 m, n,0.95
 m, v,0.821
 a, d,0.917
 n, a,0.988
 d, o,1
 i, i,1
 n, a,0.997
 g, d,0.891
 o, o,0.998
 m, m,1
 m, m,1
 a, a,0.63
 n, n,0.911
 d, d,1
 i, i,0.997
 n, m,0.552
 g, g,0.922
 o, o,1
 m, m,1
 m, m,1
 a, m,0.916
 n, w,1
 d, b,0.989
 i, l,0.637
 n, m,0.917
 g, g,1
 o, o,1
 m, m,1
 m, a,0.871
 a, e,0.851
 n, n,0.964
 d, d,1
 i, l,0.998
 n, o,0.684
 g, g,0.864
 o, g,0.989
 m, m,1
 m, m,1
 a, a,0.984
 n, n,1
 d, d,1
 i, r,0.678
 n, n,1
 g, q,0.496
 o, o,1
 m, a,0.999
 m, m,1
 a, e,0.643
 n, n,0.969
 d, d,0.991
 i, i,0.979
 n, o,0.989
 g, g,1
 o, o,1
 m, m,1
 m, m,1
 a, a,0.707
 n, n,0.996
 d, d,1
 i, l,0.862
 n, n,1
 g, z,0.705
 o, o,1
 m, m,1
 m, m,1
 a, a,0.999
 n, m,0.993
 d, d,1
 i, i,1
 n, n,0.79
 g, g,1
 o, o,1
 m, m,1
 m, m,1
 a, a,1
 n, n,0.514
 d, d,1
 i, i,0.994
 n, n,1
 g, g,0.998
 o, x,0.44
 m, m,1
 m, m,0.851
 a, z,0.888
 n, m,0.742
 d, x,0.889
 i, r,0.997
 n, m,0.987
 g, u,0.965
 o, e,0.57
 m, m,1
 m, m,1
 a, x,1
 n, n,1
 d, d,1
 i, i,1
 n, o,0.494
 g, p,0.995
 o, o,1
 m, m,1
 m, m,1
 a, a,1
 n, m,0.994
 d, d,0.681
 i, i,0.995
 n, a,0.804
 g, g,1
 o, d,1
 m, m,1
 m, m,1
 a, x,0.965
 n, o,0.82
 d, d,1
 i, i,0.987
 n, n,1
 g, d,1
 o, o,1
 m, m,1
 m, m,1
 a, a,0.992
 n, m,0.999
 d, u,0.565
 i, i,0.901
 n, m,1
 g, d,0.943
 o, o,1
 m, m,1
 m, m,1
 a, o,0.996
 n, n,1
 d, d,1
 i, i,0.997
 n, o,0.999
 g, q,0.818
 o, g,1
 m, n,0.624
 m, a,0.967
 a, z,0.983
 n, n,1
 d, d,1
 i, i,0.996
 n, o,0.771
 g, q,1
 o, o,1
 m, w,0.986
 m, m,1
 a, a,0.949
 n, n,0.579
 d, d,0.999
 i, i,0.998
 n, n,0.999
 g, e,0.803
 o, o,1
 m, m,0.999
 m, m,1
 a, a,1
 n, x,0.514
 d, d,1
 i, i,0.993
 n, w,0.851
 g, o,0.919
 o, o,1
 m, n,0.992
 m, n,0.994
 a, o,1
 n, o,0.895
 d, d,1
 i, r,1
 n, n,1
 g, d,1
 o, o,1
 m, n,0.905
 m, n,0.677
 a, n,1
 n, m,0.629
 d, p,0.399
 i, w,0.506
 n, m,1
 g, a,1
 o, o,1
 m, m,1
 m, m,1
 a, m,0.649
 n, m,0.985
 d, d,1
 i, i,0.986
 n, m,0.975
 g, g,1
 o, o,1
 m, m,0.931
 m, m,1
 a, o,0.987
 n, o,0.99
 d, a,0.97
 i, i,0.999
 n, n,1
 g, y,0.707
 o, o,0.994
 m, m,1
 m, m,1
 a, a,1
 n, n,0.849
 d, d,1
 i, j,1
 n, n,0.998
 g, p,0.997
 o, o,1
 m, m,1
 m, m,1
 a, o,1
 n, n,1
 d, d,1
 i, i,0.87
 n, n,1
 g, g,0.99
 o, o,1
 m, m,1
 m, m,1
 a, a,1
 n, n,0.998
 d, d,1
 i, l,0.937
 n, n,0.884
 g, g,0.985
 o, d,1
 m, m,1
 m, m,1
 a, a,0.977
 n, n,1
 d, e,0.859
 i, y,0.935
 n, n,0.976
 g, g,1
 o, o,1
 m, n,0.997
 m, n,0.966
 a, m,0.75
 n, n,1
 d, d,1
 i, j,0.995
 n, n,0.993
 g, o,1
 o, o,1
 m, m,1
 m, m,1
 a, n,0.904
 n, w,0.994
 d, d,1
 i, i,0.997
 n, w,1
 g, g,1
 o, o,1
 m, m,0.999
 m, m,0.574
 a, a,1
 n, n,0.427
 d, d,1
 i, i,1
 n, w,0.651
 g, y,0.528
 o, a,1
 m, m,1
 m, m,1
 a, a,0.997
 n, n,1
 d, d,1
 i, r,1
 n, n,0.567
 g, g,0.99
 o, o,1
 m, m,0.994
 m, m,1
 a, a,1
 n, n,1
 d, d,0.983
 i, i,0.998
 n, u,0.99
 g, d,0.445
 o, o,1
 m, n,0.516
 m, m,1
 a, g,1
 n, m,0.976
 d, z,0.668
 i, i,0.981
 n, v,0.517
 g, p,1
 o, g,1
 m, m,0.64
 m, m,0.968
 a, o,0.829
 n, k,0.897
 d, d,0.988
 i, i,0.707
 n, o,0.996
 g, e,0.997
 o, o,1
 m, a,0.991
 m, a,1
 a, g,0.404
 n, e,0.743
 d, o,0.649
 i, l,0.921
 n, e,0.637
 g, a,0.556
 o, o,1
 m, m,1
 m, m,1
 a, x,0.957
 n, n,1
 d, v,0.991
 i, r,0.7
 n, n,1
 g, v,0.561
 o, o,0.931
 m, m,1
 m, m,1
 a, a,1
 n, n,0.916
 d, d,0.999
 i, i,0.999
 n, n,1
 g, g,1
 o, o,0.982
 m, m,0.997
 m, n,0.677
 a, n,1
 n, a,0.934
 d, o,1
 i, f,0.692
 n, w,0.999
 g, a,0.907
 o, u,0.912
 m, m,1
 m, n,0.996
 a, a,0.983
 n, n,1
 d, d,0.999
 i, l,1
 n, a,0.998
 g, g,0.991
 o, o,1
 m, m,1
 m, m,1
 a, g,0.995
 n, n,0.879
 d, d,1
 i, i,1
 n, n,0.841
 g, q,0.969
 o, o,0.791
 m, m,1
 m, m,1
 a, a,1
 n, n,0.993
 d, z,0.503
 i, i,0.731
 n, m,0.94
 g, g,0.997
 o, o,1
 m, m,1
 m, m,1
 a, z,0.887
 n, m,1
 d, d,0.998
 i, i,1
 n, x,0.708
 g, g,0.899
 o, o,0.961
 m, m,1
 m, m,1
 a, a,0.989
 n, n,1
 d, d,1
 i, i,0.941
 n, n,1
 g, g,0.999
 o, o,1
 m, m,1
 m, m,1
 a, m,0.998
 n, m,0.987
 d, d,0.945
 i, i,1
 n, m,0.998
 g, s,0.82
 o, o,1
 m, a,0.902
 m, m,0.903
 a, g,0.85
 n, n,1
 d, d,1
 i, r,0.552
 n, v,0.625
 g, q,0.998
 o, o,0.964
 m, m,1
 m, m,1
 a, a,1
 n, n,0.889
 d, d,0.997
 i, i,1
 n, n,0.997
 g, u,0.732
 o, o,1
 m, m,1
 m, m,1
 a, a,1
 n, o,0.918
 d, d,1
 i, i,0.997
 n, n,0.697
 g, g,1
 o, o,1
 m, m,1
 m, m,1
 a, a,0.93
 n, n,0.999
 d, d,1
 i, i,0.96
 n, n,0.847
 g, g,0.892
 o, o,0.79
 m, m,1
 m, m,1
 a, a,1
 n, n,0.989
 d, d,1
 i, i,0.999
 n, n,0.997
 g, g,0.981
 o, m,0.818
 m, m,1
 m, n,1
 a, a,0.992
 n, n,1
 d, d,1
 i, l,0.789
 n, u,0.998
 g, g,0.933
 o, o,1
 m, m,1
 m, m,1
 a, a,1
 n, m,0.884
 d, d,1
 i, l,0.88
 n, n,0.998
 g, g,0.461
 o, o,0.999
 m, m,1
 m, m,1
 a, a,0.939
 n, n,1
 d, d,1
 i, i,0.974
 n, n,0.999
 g, o,0.992
 o, o,1
 m, m,1
 m, m,1
 a, a,1
 n, m,0.997
 d, d,1
 i, i,0.97
 n, n,0.47
 g, g,0.934
 o, o,0.638
 m, n,0.457
 m, m,0.875
 a, k,1
 n, g,1
 d, d,1
 i, i,0.993
 n, z,0.719
 g, q,0.751
 o, o,1
 m, m,1
 m, m,1
 a, m,0.996
 n, m,0.999
 d, d,0.994
 i, i,0.99
 n, m,0.861
 g, j,0.997
 o, o,0.987
 m, m,1
 m, m,0.901
 a, a,0.821
 n, n,1
 d, d,1
 i, i,0.996
 n, n,1
 g, o,0.862
 o, g,1
 m, m,1
 m, w,0.959
 a, g,1
 n, u,1
 d, t,0.719
 i, i,0.997
 n, z,0.999
 g, g,1
 o, o,0.879
 m, m,0.999
 m, m,1
 a, a,0.736
 n, m,0.999
 d, d,0.88
 i, f,0.847
 n, m,0.992
 g, g,0.998
 o, o,1
 m, m,1
 m, m,1
 a, a,1
 n, n,0.992
 d, d,1
 i, i,0.944
 n, m,0.998
 g, o,0.978
 o, o,1
 m, m,1
 m, m,1
 a, a,1
 n, n,1
 d, j,0.991
 i, i,1
 n, n,0.998
 g, d,0.922
 o, o,0.998
 m, m,1
 m, m,1
 a, a,1
 n, n,1
 d, j,0.678
 i, l,0.998
 n, n,0.998
 g, g,1
 o, o,1
 m, e,0.431
 m, m,0.999
 a, g,0.909
 n, o,1
 d, g,0.964
 i, j,0.639
 n, n,0.925
 g, g,1
 o, o,0.943
 m, m,1
 m, m,1
 a, a,1
 n, n,1
 d, d,0.999
 i, i,0.753
 n, m,0.953
 g, g,0.999
 o, o,1
 m, m,0.999
 m, m,1
 a, a,0.87
 n, n,0.997
 d, v,0.56
 i, i,0.992
 n, n,0.921
 g, g,1
 o, a,0.96
 m, m,1
 m, m,1
 a, a,0.934
 n, a,0.706
 d, d,0.992
 i, y,0.946
 n, a,0.882
 g, z,0.57
 o, o,0.846
 m, m,1
 m, m,1
 a, u,0.494
 n, a,0.748
 d, a,0.957
 i, l,0.739
 n, x,0.661
 g, m,0.999
 o, a,0.785
 m, m,0.998
 m, m,0.999
 a, m,0.846
 n, n,0.949
 d, k,0.592
 i, i,0.995
 n, n,0.842
 g, g,0.999
 m, m,1
 b, b,1
 r, r,1
 a, a,0.962
 c, c,1
 e, e,0.904
 s, s,0.995
 m, m,1
 b, b,1
 r, t,0.834
 a, a,1
 c, c,1
 e, e,1
 s, s,1
 m, m,0.996
 b, d,0.998
 r, r,0.99
 a, a,1
 c, c,0.96
 e, a,0.978
 s, e,0.942
 m, m,1
 b, b,0.726
 r, p,0.991
 a, m,1
 c, c,0.981
 e, m,0.869
 s, s,0.77
 m, m,1
 b, b,0.998
 r, r,0.998
 a, o,0.87
 c, c,1
 e, e,1
 s, s,0.958
 m, m,0.998
 b, b,1
 r, f,0.512
 a, g,0.645
 c, c,0.999
 e, c,0.987
 s, q,0.843
 m, m,1
 b, b,0.937
 r, u,0.993
 a, a,0.906
 c, c,1
 e, e,1
 s, x,0.86
 m, m,1
 b, b,0.959
 r, m,0.647
 a, a,0.673
 c, e,0.987
 e, e,0.962
 s, z,0.513
 m, m,1
 b, b,0.982
 r, r,0.861
 a, a,1
 c, c,0.999
 e, a,0.513
 s, a,0.856
 m, m,1
 b, b,1
 r, c,0.609
 a, a,1
 c, g,0.875
 e, e,0.985
 s, s,0.99
 m, m,1
 b, b,1
 r, c,0.676
 a, o,0.66
 c, c,0.999
 e, e,1
 s, s,0.931
 m, m,0.999
 b, b,0.998
 r, r,0.987
 a, a,1
 c, c,1
 e, e,0.861
 s, s,0.98
 m, m,1
 b, b,1
 r, r,1
 a, a,0.984
 c, c,1
 e, p,0.468
 s, a,0.966
 m, m,1
 b, h,0.565
 r, u,0.62
 a, a,1
 c, c,1
 e, a,0.601
 s, a,0.976
 m, m,1
 b, b,0.906
 r, c,0.829
 a, a,1
 c, a,0.915
 e, m,0.931
 s, z,0.697
 m, m,0.794
 b, b,0.996
 r, r,1
 a, e,0.989
 c, c,1
 e, a,0.636
 s, s,1
 m, m,1
 b, b,0.998
 r, r,0.994
 a, n,0.643
 c, c,1
 e, a,0.613
 s, a,1
 m, m,1
 b, b,1
 r, r,1
 a, z,0.847
 c, f,0.991
 e, r,0.938
 s, j,0.977
 m, m,1
 b, b,1
 r, r,0.632
 a, a,0.97
 c, c,1
 e, e,0.995
 s, a,0.982
 m, m,1
 b, b,0.819
 r, r,0.968
 a, a,1
 c, c,0.904
 e, z,0.986
 s, i,0.957
 m, m,1
 b, u,0.404
 r, m,0.326
 a, a,1
 c, c,1
 e, e,1
 s, s,0.96
 m, m,1
 b, m,0.923
 r, c,0.521
 a, m,1
 c, c,0.99
 e, m,0.446
 s, s,0.983
 m, m,1
 b, b,0.954
 r, r,1
 a, a,1
 c, c,1
 e, e,0.968
 s, s,0.994
 m, m,0.998
 b, l,0.822
 r, f,1
 a, c,1
 c, f,0.873
 e, c,0.987
 s, s,1
 m, m,1
 b, h,0.773
 r, r,0.998
 a, a,0.993
 c, a,0.578
 e, a,0.707
 s, a,0.681
 m, m,1
 b, h,0.652
 r, n,0.614
 a, a,1
 c, c,0.986
 e, e,0.993
 s, f,0.53
 m, a,0.974
 b, b,1
 r, r,1
 a, a,1
 c, e,0.998
 e, a,0.859
 s, h,0.61
 m, n,0.998
 b, b,0.999
 r, r,1
 a, e,0.995
 c, c,1
 e, a,0.659
 s, s,1
 m, m,1
 b, b,0.973
 r, r,0.514
 a, a,0.814
 c, c,0.905
 e, e,1
 s, s,1
 m, m,1
 b, h,0.906
 r, r,0.997
 a, a,1
 c, c,0.998
 e, m,0.817
 s, a,0.797
 m, m,0.996
 b, b,1
 r, r,0.714
 a, a,1
 c, c,0.877
 e, e,0.504
 s, u,0.978
 m, m,1
 b, n,0.902
 r, r,0.956
 a, a,0.557
 c, c,1
 e, e,0.929
 s, o,0.463
 m, m,1
 b, b,1
 r, r,1
 a, a,1
 c, c,1
 e, e,1
 s, b,0.687
 m, w,0.576
 b, b,0.967
 r, n,0.779
 a, a,0.999
 c, a,0.647
 e, c,0.827
 s, a,0.69
 m, m,1
 b, b,1
 r, r,1
 a, a,0.996
 c, c,1
 e, e,0.988
 s, s,1
 m, m,1
 b, b,1
 r, r,0.679
 a, a,1
 c, c,0.989
 e, a,0.553
 s, s,0.999
 m, m,0.986
 b, b,1
 r, r,1
 a, e,0.671
 c, c,1
 e, e,1
 s, z,0.569
 m, n,1
 b, o,1
 r, s,0.943
 a, n,0.89
 c, r,0.885
 e, k,0.941
 s, x,0.703
 m, m,1
 b, f,0.851
 r, r,0.802
 a, a,0.765
 c, r,0.926
 e, e,1
 s, z,0.614
 m, m,1
 b, b,1
 r, r,0.774
 a, a,1
 c, c,1
 e, e,0.989
 s, z,0.889
 m, m,0.994
 b, b,1
 r, r,0.857
 a, a,1
 c, c,0.999
 e, e,1
 s, l,0.94
 m, m,1
 b, b,0.999
 r, r,0.55
 a, a,1
 c, c,1
 e, c,1
 s, s,1
 m, m,1
 b, b,0.653
 r, r,0.993
 a, q,0.976
 c, c,1
 e, c,0.931
 s, s,1
 m, m,1
 b, b,0.999
 r, r,1
 a, a,1
 c, p,0.768
 e, c,0.595
 s, g,0.998
 m, a,1
 b, d,1
 r, r,0.968
 a, o,0.972
 c, c,0.912
 e, e,0.921
 s, s,0.978
 m, m,1
 b, u,0.948
 r, m,0.715
 a, m,0.977
 c, a,0.944
 e, m,0.76
 s, m,0.815
 m, m,1
 b, b,1
 r, r,0.991
 a, a,0.958
 c, c,0.999
 e, e,0.809
 s, h,0.763
 m, m,0.999
 b, h,0.783
 r, r,0.996
 a, a,0.671
 c, c,1
 e, e,0.887
 s, a,0.532
 m, m,1
 b, b,0.998
 r, r,0.699
 a, a,1
 c, c,0.999
 e, m,0.564
 s, a,0.698
 m, m,1
 b, b,1
 r, r,0.973
 a, m,0.991
 c, c,1
 e, z,0.577
 s, y,0.724
 m, m,1
 b, h,0.771
 r, x,0.886
 a, m,0.746
 c, c,1
 e, a,0.991
 s, z,0.762
 m, m,1
 b, z,0.946
 r, r,0.955
 a, g,1
 c, c,1
 e, c,0.857
 s, s,1
 m, m,0.859
 b, v,0.644
 r, s,0.853
 a, m,0.903
 c, a,0.952
 e, m,0.553
 s, s,0.978
 m, w,0.955
 b, b,0.721
 r, c,0.591
 a, m,0.88
 c, c,1
 e, m,0.846
 s, a,0.635
 m, m,1
 b, b,1
 r, f,0.979
 a, e,0.667
 c, c,1
 e, c,1
 s, b,0.824
 m, m,1
 b, b,1
 r, n,0.996
 a, a,1
 c, c,1
 e, e,1
 s, q,1
 m, m,1
 b, b,1
 r, c,0.714
 a, a,1
 c, c,1
 e, c,0.995
 s, s,0.966
 m, m,1
 b, b,1
 r, r,0.835
 a, a,1
 c, c,0.848
 e, e,0.985
 s, s,0.999
 m, n,1
 b, b,1
 r, p,1
 a, a,0.71
 c, d,0.951
 e, p,1
 s, s,1
 m, m,0.992
 b, g,1
 r, a,0.895
 a, n,1
 c, c,1
 e, c,0.744
 s, s,1
 m, w,0.868
 b, p,1
 r, r,0.372
 a, a,0.985
 c, g,0.915
 e, p,0.702
 s, s,0.927
 m, m,1
 b, b,1
 r, r,0.991
 a, m,0.996
 c, c,0.699
 e, a,0.965
 s, s,1
 m, m,0.936
 b, b,1
 r, r,0.672
 a, e,0.521
 c, o,1
 e, c,0.519
 s, s,0.921
 m, n,0.925
 b, e,0.993
 r, e,0.989
 a, d,1
 c, c,0.999
 e, e,0.691
 s, p,0.982
 m, n,0.898
 b, l,0.556
 r, x,0.974
 a, d,0.507
 c, c,0.656
 e, p,0.991
 s, s,0.986
 m, m,0.954
 b, b,1
 r, r,1
 a, a,0.995
 c, c,1
 e, e,0.986
 s, s,0.671
 m, m,1
 b, b,0.698
 r, y,0.549
 a, e,0.772
 c, c,1
 e, y,0.939
 s, q,0.952
 m, a,0.53
 b, s,0.994
 r, r,0.998
 a, x,0.598
 c, c,1
 e, e,1
 s, a,0.999
 m, m,1
 b, b,0.701
 r, c,0.867
 a, m,0.977
 c, c,0.969
 e, a,0.911
 s, z,0.797
 m, m,1
 b, b,0.748
 r, r,0.782
 a, a,1
 c, p,0.505
 e, a,1
 s, b,0.886
 m, m,1
 b, b,0.999
 r, r,0.586
 a, a,1
 c, c,1
 e, a,0.704
 s, z,0.761
 m, m,1
 b, d,0.977
 r, m,0.984
 a, m,0.766
 c, c,1
 e, e,0.811
 s, x,0.667
 m, m,1
 b, d,0.977
 r, c,0.847
 a, d,0.88
 c, c,0.999
 e, e,1
 s, s,0.794
 m, m,1
 b, b,1
 r, r,0.995
 a, a,1
 c, c,1
 e, c,0.874
 s, s,1
 m, m,0.997
 b, d,1
 r, r,0.999
 a, d,0.99
 c, r,1
 e, e,0.988
 s, z,0.878
 m, m,1
 b, d,0.971
 r, r,1
 a, g,0.585
 c, f,0.961
 e, f,0.988
 s, f,0.999
 m, m,0.998
 b, b,1
 r, x,0.538
 a, g,0.999
 c, c,1
 e, e,0.999
 s, y,0.582
 m, m,1
 b, d,1
 r, r,0.414
 a, a,0.975
 c, r,0.988
 e, m,0.999
 s, o,0.854
 m, m,1
 b, b,1
 r, r,0.628
 a, o,1
 c, c,1
 e, x,0.958
 s, s,1
 m, m,1
 b, b,1
 r, r,0.891
 a, e,0.916
 c, c,0.952
 e, e,1
 s, z,0.93
 m, m,1
 b, b,1
 r, r,0.804
 a, z,0.974
 c, c,1
 e, k,0.908
 s, s,1
 m, a,0.491
 b, d,0.97
 r, r,1
 a, e,0.721
 c, c,1
 e, c,0.709
 s, s,0.798
 m, n,0.932
 b, o,1
 r, a,0.847
 a, n,1
 c, c,1
 e, z,0.98
 s, s,0.999
 m, m,1
 b, b,1
 r, r,0.861
 a, a,0.504
 c, c,0.998
 e, e,0.917
 s, e,0.321
 m, m,1
 b, b,0.998
 r, f,0.998
